Pattern Groups For Guesses From The Large Vocabulary Wordslist (14855) Into Wordlebot’s Possible Solutions List  (11/05/2024)											
							
guess	qty	ent min max ave exp p2
ayres	104	5.363	1	265	30.66	116.63	2,635.97
morel	128	5.363	1	382	24.91	136.73	2,785.77
aides	122	5.361	1	306	26.14	126.57	2,625.09
goier	126	5.361	1	353	25.31	135.14	2,779.83
tapes	129	5.361	1	375	24.72	138.23	2,806.15
pales	133	5.361	1	369	23.98	138.83	2,753.81
tiars	126	5.361	1	425	25.31	144.94	3,027.82
morse	132	5.361	1	389	24.16	147.89	2,989.13
raike	112	5.360	1	313	28.47	124.02	2,720.45
spier	135	5.360	1	408	23.62	142.29	2,803.27
lutea	124	5.359	1	271	25.72	128.49	2,643.15
leary	133	5.359	1	305	23.98	130.06	2,543.69
losen	128	5.358	1	307	24.91	131.05	2,644.33
farse	126	5.358	1	388	25.31	140.55	2,916.56
madre	126	5.358	1	455	25.31	147.08	3,082.04
coure	134	5.358	1	372	23.80	149.18	2,983.82
frate	131	5.357	1	401	24.34	141.88	2,861.19
leapt	139	5.357	1	369	22.94	143.79	2,772.49
tines	126	5.357	1	416	25.31	147.55	3,093.80
inter	122	5.356	1	380	26.14	131.53	2,754.81
laree	117	5.356	1	447	27.26	136.97	2,990.34
touse	129	5.356	1	445	24.72	151.99	3,146.23
crame	136	5.356	1	423	23.45	153.84	3,057.39
aeons	111	5.355	1	308	28.73	125.29	2,774.20
sidle	129	5.355	1	445	24.72	150.55	3,110.51
tosed	119	5.354	1	393	26.80	137.77	2,973.82
pated	133	5.354	1	403	23.98	142.37	2,838.77
rodes	122	5.353	1	397	26.14	137.07	2,899.76
rotan	141	5.353	1	377	22.62	143.91	2,743.34
roues	114	5.352	1	313	27.97	126.92	2,768.01
pries	130	5.352	1	408	24.53	141.73	2,875.08
thane	133	5.352	1	361	23.98	144.86	2,898.53
sient	143	5.352	1	509	22.30	176.69	3,442.88
drant	125	5.351	1	437	25.51	142.50	2,984.54
range	131	5.351	1	402	24.34	143.42	2,898.64
caned	129	5.351	1	428	24.72	147.63	3,038.42
lathe	123	5.350	1	347	25.93	136.17	2,858.21
sayne	114	5.350	1	399	27.97	137.77	3,071.39
dance	127	5.349	1	428	25.11	146.61	3,050.87
drice	138	5.349	1	473	23.11	154.26	3,030.66
liard	127	5.348	1	382	25.11	139.56	2,873.77
stone	123	5.348	1	396	25.93	144.30	3,069.04
cleat	140	5.347	1	435	22.78	154.58	3,002.29
ratos	128	5.346	1	391	24.91	135.63	2,758.44
farle	126	5.346	1	401	25.31	138.79	2,872.25
diner	142	5.346	1	454	22.46	155.49	2,987.70
solde	129	5.345	1	382	24.72	139.41	2,835.12
resto	125	5.344	1	330	25.51	132.35	2,725.75
tarsi	124	5.344	1	425	25.72	142.28	2,997.83
trona	129	5.344	1	377	24.72	144.34	2,957.13
ratio	131	5.343	1	299	24.34	132.99	2,644.74
neats	115	5.343	1	376	27.73	139.69	3,104.56
terns	122	5.343	1	371	26.14	140.76	2,995.99
heast	138	5.343	1	428	23.11	164.99	3,278.62
socle	122	5.342	1	426	26.14	147.83	3,180.92
cause	120	5.341	1	450	26.58	151.74	3,326.24
deals	122	5.340	1	370	26.14	138.11	2,926.89
segar	125	5.340	1	358	25.51	139.58	2,910.03
mitre	137	5.340	1	417	23.28	147.19	2,884.39
hanse	130	5.340	1	413	24.53	148.33	3,036.82
conte	129	5.340	1	397	24.72	149.60	3,087.16
teils	124	5.340	1	393	25.72	149.76	3,190.06
shire	127	5.340	1	390	25.11	150.58	3,150.59
padle	131	5.340	1	453	24.34	151.87	3,104.49
resol	113	5.339	1	300	28.22	124.79	2,725.39
recal	130	5.339	1	347	24.53	136.36	2,743.23
earth	137	5.339	1	366	23.28	143.88	2,807.27
sable	128	5.339	1	395	24.91	152.30	3,173.78
pilea	128	5.338	1	334	24.91	137.47	2,804.27
clade	131	5.338	1	436	24.34	150.54	3,072.01
trued	133	5.338	1	470	23.98	153.87	3,114.56
deist	133	5.338	1	469	23.98	157.04	3,190.43
laces	121	5.337	1	348	26.36	132.90	2,808.00
wrate	129	5.337	1	413	24.72	142.21	2,904.33
lited	137	5.337	1	451	23.28	151.94	2,995.02
tarns	120	5.336	1	469	26.58	149.17	3,257.98
chare	139	5.336	1	404	22.94	157.30	3,082.56
loper	128	5.335	1	381	24.91	137.06	2,793.94
shore	127	5.335	1	377	25.11	148.18	3,090.37
preta	132	5.333	1	357	24.16	145.62	2,934.38
rince	127	5.333	1	400	25.11	147.97	3,085.01
recta	122	5.332	1	343	26.14	135.17	2,849.97
licet	128	5.331	1	403	24.91	143.96	2,966.02
poset	127	5.331	1	391	25.11	150.65	3,152.44
bared	141	5.331	1	472	22.62	155.25	2,999.82
cabre	137	5.331	1	434	23.28	155.34	3,074.00
perst	141	5.331	1	450	22.62	164.41	3,206.92
mante	123	5.330	1	366	25.93	143.26	3,042.13
paled	136	5.330	1	453	23.45	152.48	3,025.51
roake	110	5.329	1	299	28.99	123.81	2,748.77
taker	112	5.329	1	379	28.47	131.60	2,936.30
maerl	127	5.329	1	369	25.11	143.96	2,984.30
steal	129	5.329	1	404	24.72	148.86	3,068.81
rails	118	5.328	1	365	27.03	133.38	2,874.30
ahole	112	5.328	1	344	28.47	133.50	2,990.37
aroid	138	5.328	1	388	23.11	145.02	2,817.20
great	135	5.328	1	380	23.62	149.22	2,966.90
poise	127	5.328	1	427	25.11	149.23	3,116.62
ourie	114	5.327	1	314	27.97	126.70	2,761.85
sedan	125	5.327	1	363	25.51	139.87	2,917.40
timer	137	5.327	1	417	23.28	146.15	2,860.22
seare	115	5.327	1	442	27.73	149.68	3,381.80
tardo	126	5.326	1	382	25.31	137.64	2,843.12
afret	118	5.326	1	401	27.03	140.47	3,066.01
shear	126	5.326	1	367	25.31	146.55	3,068.55
borel	135	5.326	1	421	23.62	147.34	2,922.47
spire	136	5.326	1	408	23.45	151.00	2,990.88
drail	128	5.325	1	382	24.91	139.64	2,858.31
rotas	127	5.325	1	391	25.11	140.14	2,888.54
paseo	119	5.324	1	259	26.80	127.79	2,706.31
togae	120	5.324	1	333	26.58	134.46	2,867.03
haste	130	5.324	1	399	24.53	153.44	3,162.28
coder	137	5.324	1	472	23.28	158.16	3,139.81
neist	135	5.324	1	449	23.62	165.44	3,350.15
taped	132	5.323	1	403	24.16	142.27	2,853.53
caple	139	5.323	1	430	22.94	162.67	3,205.59
rages	121	5.322	1	358	26.36	129.98	2,730.99
reate	120	5.322	1	455	26.58	146.16	3,177.93
carol	130	5.322	1	431	24.53	149.33	3,061.54
piert	134	5.322	1	425	23.80	161.37	3,273.88
pored	132	5.322	1	499	24.16	163.32	3,362.09
teads	127	5.321	1	367	25.11	137.39	2,819.28
lirot	121	5.321	1	407	26.36	143.19	3,079.17
miter	131	5.321	1	417	24.34	146.12	2,964.53
sonce	134	5.321	1	461	23.80	157.43	3,180.25
crena	130	5.320	1	356	24.53	146.32	2,987.51
caird	135	5.320	1	468	23.62	155.23	3,108.96
cased	120	5.319	1	382	26.58	137.49	2,947.64
heard	131	5.319	1	397	24.34	143.53	2,901.40
spore	131	5.319	1	381	24.34	147.06	2,987.26
nerol	122	5.318	1	303	26.14	129.20	2,693.81
neals	113	5.318	1	360	28.22	136.49	3,055.46
water	125	5.318	1	413	25.51	140.13	2,924.23
blate	132	5.318	1	386	24.16	149.78	3,034.85
drest	121	5.318	1	444	26.36	149.85	3,254.76
armed	129	5.318	1	455	24.72	155.49	3,232.64
slide	120	5.317	1	445	26.58	150.57	3,295.14
alces	116	5.316	1	348	27.49	136.34	2,992.42
triol	122	5.316	1	407	26.14	142.11	3,031.27
rides	129	5.316	1	409	24.72	142.46	2,910.62
close	125	5.316	1	426	25.51	152.24	3,233.03
tined	139	5.316	1	491	22.94	164.47	3,247.05
alist	135	5.316	1	490	23.62	166.17	3,367.21
tawer	120	5.315	1	413	26.58	140.29	3,022.04
manie	124	5.315	1	374	25.72	143.85	3,038.20
elain	123	5.315	1	405	25.93	145.73	3,106.08
airts	122	5.315	1	425	26.14	146.02	3,133.53
clart	136	5.315	1	476	23.45	159.84	3,198.28
safer	115	5.314	1	388	27.73	135.66	2,992.81
surat	140	5.314	1	500	22.78	170.25	3,359.19
pareu	108	5.313	1	320	29.53	130.34	2,976.66
namer	123	5.313	1	373	25.93	132.97	2,775.34
cosie	120	5.313	1	412	26.58	142.36	3,077.01
eliad	128	5.313	1	347	24.91	148.35	3,075.27
piner	127	5.313	1	428	25.11	150.91	3,158.87
seton	132	5.313	1	431	24.16	152.05	3,089.74
areic	109	5.312	1	289	29.26	132.11	3,009.11
tsade	117	5.312	1	367	27.26	135.09	2,939.23
moler	124	5.312	1	382	25.72	140.30	2,946.78
realm	125	5.312	1	369	25.51	140.78	2,940.71
samen	124	5.312	1	365	25.72	142.72	3,009.12
curie	129	5.312	1	380	24.72	151.19	3,126.53
anode	118	5.310	1	311	27.03	133.33	2,872.94
coste	120	5.310	1	419	26.58	150.73	3,299.51
feart	142	5.310	1	401	22.46	155.23	2,981.67
spear	129	5.309	1	359	24.72	148.18	3,052.09
laced	131	5.309	1	436	24.34	148.63	3,025.66
garde	135	5.309	1	458	23.62	151.58	3,022.58
spane	130	5.309	1	392	24.53	154.78	3,195.08
riels	116	5.308	1	312	27.49	135.09	2,958.03
soger	123	5.308	1	398	25.93	141.27	2,990.52
morne	130	5.308	1	397	24.53	149.76	3,071.94
stied	126	5.308	1	469	25.31	153.28	3,238.94
ranid	137	5.307	1	438	23.28	154.40	3,052.10
lairs	116	5.306	1	365	27.49	134.46	2,940.70
saker	103	5.306	1	390	30.96	135.08	3,223.77
acone	125	5.306	1	351	25.51	137.19	2,849.13
reins	116	5.306	1	347	27.49	142.35	3,157.70
tilde	128	5.306	1	451	24.91	150.41	3,126.59
pried	141	5.306	1	507	22.62	166.91	3,263.51
maleo	115	5.305	1	285	27.73	133.06	2,920.84
panes	119	5.305	1	367	26.80	141.63	3,077.35
sured	127	5.305	1	466	25.11	153.38	3,220.98
barde	139	5.305	1	472	22.94	154.21	3,011.52
truce	140	5.305	1	422	22.78	156.89	3,054.89
gorse	126	5.304	1	398	25.31	151.06	3,182.77
eards	116	5.303	1	354	27.49	131.90	2,870.25
delta	119	5.303	1	363	26.80	138.36	2,989.76
manse	117	5.303	1	413	27.26	151.16	3,377.10
abore	116	5.302	1	322	27.49	132.78	2,894.44
asper	116	5.302	1	355	27.49	133.18	2,905.63
perai	115	5.302	1	298	27.73	134.46	2,959.61
droit	126	5.302	1	490	25.31	157.86	3,354.67
brace	135	5.302	1	434	23.62	158.05	3,175.49
aiery	112	5.301	1	280	28.47	124.48	2,733.53
inlet	127	5.301	1	383	25.11	141.35	2,918.70
sture	127	5.301	1	405	25.11	155.94	3,285.15
crest	129	5.301	1	408	24.72	161.54	3,382.22
locie	121	5.300	1	393	26.36	142.39	3,058.15
roans	115	5.299	1	387	27.73	140.50	3,127.01
sined	135	5.299	1	466	23.62	159.01	3,198.04
erica	119	5.298	1	337	26.80	141.28	3,067.98
hates	121	5.298	1	382	26.36	144.50	3,113.73
recit	124	5.298	1	394	25.72	149.46	3,182.38
petal	137	5.298	1	369	23.28	152.81	3,015.13
caber	131	5.297	1	434	24.34	151.78	3,102.36
grace	120	5.297	1	410	26.58	155.72	3,431.94
honer	120	5.296	1	375	26.58	142.07	3,069.18
reaps	117	5.296	1	355	27.26	143.80	3,176.57
sieur	121	5.296	1	404	26.36	144.39	3,110.72
cager	122	5.296	1	410	26.14	144.97	3,106.19
cuter	137	5.296	1	422	23.28	152.01	2,996.64
clair	128	5.296	1	446	24.91	155.25	3,247.09
notes	114	5.295	1	332	27.97	136.61	3,038.87
tames	119	5.295	1	381	26.80	142.42	3,098.53
trend	125	5.295	1	446	25.51	151.24	3,207.53
rayed	121	5.294	1	352	26.36	137.78	2,936.69
sawer	117	5.294	1	406	27.26	140.05	3,074.26
hears	121	5.294	1	333	26.36	143.74	3,093.83
ranee	113	5.294	1	464	28.22	144.56	3,283.31
relos	112	5.293	1	300	28.47	128.00	2,833.77
narod	129	5.292	1	401	24.72	145.05	2,974.76
salto	126	5.292	1	432	25.31	150.25	3,162.09
phare	132	5.292	1	393	24.16	153.42	3,122.72
hoser	124	5.291	1	377	25.72	140.44	2,950.49
cotes	117	5.291	1	350	27.26	141.69	3,119.10
cruel	127	5.291	1	395	25.11	144.85	3,006.60
artis	129	5.291	1	425	24.72	149.20	3,077.12
doest	125	5.291	1	393	25.51	152.95	3,251.19
slant	134	5.291	1	531	23.80	170.63	3,494.38
neosa	106	5.290	1	308	30.09	130.59	3,023.70
louse	118	5.290	1	455	27.03	153.16	3,408.87
losed	122	5.289	1	382	26.14	141.06	3,004.05
dotes	121	5.289	1	393	26.36	141.42	3,032.68
tribe	124	5.289	1	444	25.72	153.25	3,279.90
trans	119	5.289	1	469	26.80	153.94	3,407.09
rials	115	5.288	1	365	27.73	138.01	3,058.09
onset	123	5.288	1	332	25.93	143.66	3,052.46
taupe	121	5.288	1	393	26.36	146.58	3,168.53
taroc	129	5.288	1	431	24.72	148.99	3,072.02
macer	129	5.288	1	423	24.72	149.66	3,088.53
drent	122	5.288	1	446	26.14	151.12	3,266.79
older	118	5.287	1	401	27.03	142.67	3,125.21
mates	118	5.287	1	381	27.03	143.19	3,139.35
sober	121	5.287	1	409	26.36	146.28	3,160.77
sonde	127	5.287	1	391	25.11	149.33	3,119.22
biter	134	5.287	1	444	23.80	152.77	3,069.25
laris	119	5.286	1	365	26.80	135.10	2,902.38
eorls	110	5.286	1	324	28.99	136.27	3,110.12
deary	126	5.286	1	352	25.31	139.77	2,896.93
eiron	123	5.286	1	411	25.93	147.12	3,142.13
lunet	129	5.286	1	379	24.72	149.90	3,094.59
yeast	109	5.286	1	432	29.26	150.08	3,534.98
arete	118	5.286	1	455	27.03	151.77	3,371.36
rices	118	5.285	1	371	27.03	136.05	2,946.50
liers	113	5.285	1	312	28.22	136.89	3,066.63
early	126	5.285	1	359	25.31	138.69	2,869.71
lines	116	5.285	1	378	27.49	144.57	3,218.75
meant	125	5.285	1	426	25.51	156.22	3,334.52
clone	131	5.285	1	427	24.34	156.69	3,221.80
snied	134	5.285	1	466	23.80	161.23	3,270.70
place	135	5.285	1	430	23.62	168.04	3,411.51
laude	121	5.284	1	354	26.36	140.90	3,018.86
deans	117	5.284	1	363	27.26	141.44	3,112.31
lures	124	5.283	1	350	25.72	134.90	2,807.99
birle	133	5.283	1	408	23.98	151.50	3,057.78
tiger	127	5.283	1	443	25.11	152.09	3,188.52
tails	126	5.283	1	490	25.31	155.87	3,304.48
coles	125	5.282	1	341	25.51	141.86	2,968.22
mores	124	5.282	1	389	25.72	146.24	3,099.54
rithe	123	5.282	1	410	25.93	147.27	3,146.02
clies	127	5.282	1	406	25.11	149.16	3,114.85
stela	127	5.282	1	404	25.11	149.64	3,126.98
cairn	134	5.282	1	494	23.80	163.52	3,325.12
beast	131	5.282	1	409	24.34	164.14	3,403.16
hoaed	114	5.281	1	314	27.97	130.51	2,868.27
lyase	114	5.281	1	379	27.97	141.15	3,165.92
islet	121	5.281	1	393	26.36	141.21	3,027.11
birse	127	5.281	1	410	25.11	154.59	3,251.34
merit	131	5.281	1	417	24.34	157.01	3,229.49
louie	106	5.280	1	403	30.09	135.80	3,180.36
rahed	120	5.280	1	397	26.58	140.19	3,019.36
loran	128	5.280	1	355	24.91	141.81	2,912.39
ropes	121	5.280	1	381	26.36	142.48	3,060.44
loipe	119	5.280	1	397	26.80	146.65	3,211.89
leare	115	5.280	1	447	27.73	148.32	3,344.09
cider	141	5.280	1	473	22.62	161.75	3,146.76
pleat	140	5.280	1	427	22.78	161.83	3,167.39
satin	139	5.280	1	540	22.94	170.98	3,396.44
aunes	113	5.279	1	299	28.22	137.31	3,078.58
urine	121	5.279	1	353	26.36	144.56	3,115.30
riley	122	5.278	1	283	26.14	132.71	2,785.69
yearn	109	5.278	1	339	29.26	137.22	3,158.52
resod	122	5.278	1	397	26.14	141.14	3,005.94
soree	109	5.278	1	474	29.26	148.58	3,491.00
belar	137	5.278	1	394	23.28	152.58	3,009.86
coted	123	5.278	1	428	25.93	153.05	3,295.82
drain	134	5.278	1	438	23.80	153.86	3,095.24
rosit	132	5.278	1	463	24.16	154.52	3,149.29
moile	123	5.277	1	411	25.93	150.39	3,226.90
paned	130	5.277	1	439	24.53	153.80	3,171.00
teind	135	5.277	1	491	23.62	171.14	3,484.71
acies	111	5.276	1	290	28.73	126.76	2,816.43
hales	117	5.276	1	337	27.26	138.13	3,021.88
hotel	119	5.276	1	358	26.80	143.52	3,127.98
parge	128	5.276	1	429	24.91	155.07	3,242.80
tapir	134	5.276	1	470	23.80	157.20	3,174.74
blase	136	5.276	1	395	23.45	161.56	3,238.59
pause	125	5.276	1	449	25.51	161.57	3,471.03
payer	121	5.275	1	330	26.36	137.52	2,929.90
resin	126	5.275	1	347	25.31	143.80	2,998.86
retam	129	5.275	1	374	24.72	147.13	3,026.14
ruice	125	5.275	1	380	25.51	151.37	3,210.99
strep	122	5.275	1	450	26.14	154.43	3,353.53
stean	121	5.275	1	419	26.36	155.10	3,392.99
peats	131	5.275	1	397	24.34	159.43	3,288.38
doles	125	5.274	1	382	25.51	143.25	3,003.72
miler	127	5.274	1	383	25.11	145.41	3,020.81
repot	129	5.274	1	391	24.72	149.34	3,080.64
tepal	140	5.274	1	369	22.78	152.69	2,959.16
rosal	117	5.273	1	359	27.26	137.75	3,011.56
hated	129	5.273	1	408	24.72	145.92	2,996.12
noted	124	5.273	1	426	25.72	150.44	3,207.51
raged	134	5.273	1	458	23.80	155.74	3,140.01
shiel	124	5.273	1	418	25.72	157.11	3,379.15
presa	127	5.272	1	359	25.11	153.28	3,218.43
noles	118	5.271	1	307	27.03	134.45	2,903.16
rains	118	5.271	1	415	27.03	144.05	3,162.74
bolet	129	5.271	1	408	24.72	154.58	3,210.15
coral	132	5.271	1	431	24.16	157.68	3,225.63
relay	130	5.270	1	305	24.53	138.49	2,795.48
hires	122	5.270	1	390	26.14	142.98	3,054.07
netas	117	5.270	1	376	27.26	144.81	3,204.16
baste	128	5.270	1	397	24.91	154.41	3,226.25
ancle	125	5.269	1	369	25.51	147.84	3,120.83
borne	133	5.269	1	428	23.98	157.31	3,196.91
loden	131	5.268	1	423	24.34	154.71	3,173.48
price	133	5.268	1	459	23.98	166.25	3,411.29
ureal	116	5.267	1	314	27.49	134.21	2,933.78
stead	117	5.267	1	367	27.26	145.72	3,228.79
moner	125	5.267	1	397	25.51	150.56	3,190.27
luser	122	5.266	1	350	26.14	137.12	2,900.94
aerie	97	5.266	1	368	32.88	138.48	3,471.92
males	117	5.266	1	374	27.26	144.18	3,187.01
resid	121	5.266	1	409	26.36	145.91	3,150.94
peril	124	5.266	1	392	25.72	150.91	3,219.72
eland	124	5.266	1	400	25.72	152.14	3,251.28
sepal	137	5.266	1	390	23.28	160.88	3,202.94
arils	113	5.265	1	365	28.22	138.43	3,110.17
cades	115	5.265	1	382	27.73	140.78	3,134.81
abler	117	5.265	1	394	27.26	141.14	3,104.19
aglet	123	5.265	1	374	25.93	144.63	3,077.65
sapor	126	5.265	1	450	25.31	155.33	3,290.82
coper	135	5.265	1	445	23.62	159.77	3,216.18
seric	112	5.264	1	371	28.47	144.17	3,294.18
coled	129	5.264	1	455	24.72	161.35	3,377.63
caron	148	5.264	1	459	21.55	161.46	3,014.65
ablet	123	5.263	1	386	25.93	147.05	3,140.23
smore	126	5.263	1	389	25.31	151.45	3,192.61
grade	131	5.263	1	458	24.34	155.95	3,203.84
coast	120	5.263	1	488	26.58	166.50	3,718.41
cline	131	5.263	1	427	24.34	166.65	3,464.21
terga	125	5.262	1	380	25.51	150.05	3,177.24
tamed	131	5.262	1	428	24.34	150.66	3,074.97
radge	128	5.262	1	458	24.91	154.99	3,240.73
sield	119	5.262	1	445	26.80	160.24	3,575.99
deray	130	5.261	1	352	24.53	146.08	2,981.65
flare	129	5.261	1	401	24.72	148.53	3,060.74
hoise	115	5.261	1	443	27.73	153.31	3,482.41
ripen	127	5.261	1	428	25.11	155.09	3,263.86
siree	113	5.261	1	493	28.22	155.27	3,585.45
yates	107	5.260	1	292	29.80	132.14	3,050.10
renos	124	5.260	1	318	25.72	139.31	2,921.23
deros	115	5.260	1	397	27.73	143.05	3,197.78
corey	122	5.260	1	350	26.14	146.96	3,158.14
peals	131	5.260	1	390	24.34	158.43	3,264.03
spiel	130	5.260	1	456	24.53	161.78	3,366.88
daint	127	5.260	1	523	25.11	168.11	3,590.70
slipe	133	5.260	1	456	23.98	174.63	3,612.20
liars	112	5.259	1	365	28.47	140.52	3,190.27
darts	111	5.259	1	440	28.73	146.20	3,374.83
tides	127	5.259	1	469	25.11	155.85	3,282.87
pance	131	5.259	1	419	24.34	163.03	3,376.23
since	130	5.259	1	459	24.53	169.63	3,559.34
rules	120	5.258	1	350	26.58	137.48	2,947.24
waler	119	5.258	1	409	26.80	143.28	3,121.40
nites	123	5.258	1	416	25.93	152.26	3,275.53
curse	134	5.258	1	422	23.80	166.67	3,400.13
motel	123	5.257	1	372	25.93	146.87	3,135.74
doers	112	5.257	1	397	28.47	147.26	3,382.16
cites	117	5.257	1	436	27.26	154.45	3,466.82
beard	135	5.257	1	472	23.62	162.73	3,286.03
gates	119	5.256	1	380	26.80	144.53	3,154.98
rents	115	5.256	1	371	27.73	145.34	3,261.48
ranke	112	5.256	1	409	28.47	145.94	3,344.77
slaid	124	5.256	1	472	25.72	160.18	3,457.98
teins	126	5.256	1	449	25.31	167.56	3,600.18
leads	117	5.255	1	370	27.26	142.35	3,136.91
mires	121	5.255	1	398	26.36	145.91	3,150.81
oiled	127	5.255	1	364	25.11	150.40	3,146.07
talon	122	5.255	1	423	26.14	151.31	3,271.87
dites	127	5.255	1	469	25.11	157.05	3,313.15
dinar	134	5.255	1	438	23.80	157.67	3,185.98
thole	122	5.254	1	387	26.14	151.68	3,281.64
brise	122	5.254	1	410	26.14	155.57	3,383.10
yeard	111	5.253	1	352	28.73	139.38	3,178.81
rants	112	5.253	1	469	28.47	152.47	3,530.71
fares	115	5.252	1	388	27.73	139.61	3,102.42
vaire	123	5.252	1	367	25.93	139.78	2,951.74
peola	116	5.252	1	312	27.49	143.04	3,176.53
rhone	119	5.252	1	375	26.80	146.70	3,213.29
ceros	128	5.252	1	347	24.91	147.51	3,054.48
daris	117	5.251	1	378	27.26	139.36	3,055.61
beira	125	5.251	1	312	25.51	142.80	2,992.30
acted	120	5.251	1	379	26.58	143.71	3,112.78
arson	124	5.251	1	387	25.72	148.72	3,163.28
scote	121	5.251	1	419	26.36	154.35	3,373.22
dorsa	112	5.250	1	378	28.47	144.93	3,315.91
blore	133	5.250	1	421	23.98	154.53	3,130.32
santo	125	5.250	1	464	25.51	161.51	3,469.51
resay	120	5.249	1	322	26.58	137.15	2,938.54
renay	126	5.249	1	339	25.31	144.42	3,014.64
snead	123	5.249	1	363	25.93	149.56	3,205.43
clied	137	5.249	1	503	23.28	169.02	3,392.39
intel	125	5.248	1	383	25.51	145.13	3,051.67
haled	128	5.248	1	416	24.91	149.62	3,106.83
boite	122	5.248	1	371	26.14	150.93	3,261.89
spaed	119	5.248	1	417	26.80	152.09	3,357.51
tonal	128	5.248	1	423	24.91	156.18	3,270.25
telos	117	5.247	1	378	27.26	142.52	3,141.75
rhies	119	5.247	1	390	26.80	146.31	3,202.70
mated	127	5.247	1	428	25.11	152.25	3,192.60
nurse	124	5.247	1	379	25.72	153.08	3,275.44
inset	127	5.247	1	416	25.11	155.40	3,271.69
lepra	125	5.245	1	358	25.51	142.84	2,993.34
bates	125	5.245	1	397	25.51	147.40	3,109.69
anger	128	5.245	1	402	24.91	147.66	3,058.20
rache	116	5.245	1	404	27.49	151.84	3,418.49
roble	126	5.245	1	421	25.31	153.60	3,247.09
arret	117	5.245	1	455	27.26	157.53	3,550.75
selah	128	5.245	1	409	24.91	159.80	3,360.61
sceat	121	5.245	1	461	26.36	166.57	3,695.29
cripe	132	5.245	1	459	24.16	166.82	3,446.50
trave	117	5.244	1	445	27.26	153.31	3,435.83
parol	124	5.244	1	426	25.72	154.00	3,299.09
prest	141	5.244	1	450	22.62	177.92	3,512.59
slyer	103	5.243	1	323	30.96	130.16	3,071.18
repas	116	5.243	1	355	27.49	146.43	3,269.68
retag	115	5.243	1	380	27.73	150.21	3,396.39
opter	125	5.242	1	391	25.51	145.70	3,066.20
sadhe	118	5.242	1	393	27.03	149.22	3,302.43
brose	126	5.242	1	409	25.31	155.91	3,305.52
grise	122	5.242	1	410	26.14	159.32	3,481.27
dolce	125	5.242	1	455	25.51	162.38	3,491.72
lined	132	5.242	1	489	24.16	170.60	3,537.97
smear	125	5.241	1	365	25.51	151.31	3,209.34
certs	121	5.241	1	406	26.36	156.25	3,423.40
leash	128	5.241	1	409	24.91	157.26	3,297.33
amole	118	5.240	1	354	27.03	144.37	3,171.21
tabes	122	5.240	1	397	26.14	146.83	3,154.66
reams	119	5.240	1	365	26.80	148.42	3,259.17
toney	127	5.240	1	344	25.11	148.52	3,098.93
ripes	122	5.240	1	408	26.14	148.72	3,204.19
salon	121	5.240	1	453	26.36	156.47	3,429.32
druse	118	5.240	1	466	27.03	157.41	3,523.79
aside	111	5.239	1	306	28.73	134.42	3,036.52
sorda	112	5.239	1	378	28.47	144.70	3,309.45
ulnae	112	5.239	1	379	28.47	147.64	3,392.96
sault	135	5.239	1	573	23.62	182.92	3,762.93
sayed	110	5.238	1	354	28.99	139.43	3,201.65
olpae	114	5.238	1	333	27.97	145.90	3,298.76
nicer	119	5.238	1	400	26.80	147.30	3,229.20
repla	118	5.237	1	358	27.03	141.71	3,099.48
gores	122	5.237	1	398	26.14	146.80	3,154.05
lidar	130	5.237	1	382	24.53	148.81	3,048.66
miser	125	5.237	1	398	25.51	148.91	3,148.03
tarre	117	5.237	1	455	27.26	157.79	3,557.99
slope	131	5.237	1	434	24.34	165.39	3,433.49
isnae	108	5.236	1	335	29.53	135.71	3,135.32
gears	114	5.236	1	358	27.97	148.71	3,377.43
strad	111	5.236	1	440	28.73	150.73	3,505.01
sware	127	5.236	1	406	25.11	155.92	3,284.63
culet	134	5.236	1	420	23.80	160.83	3,261.24
goner	130	5.236	1	447	24.53	162.09	3,374.50
camel	124	5.236	1	440	25.72	163.05	3,531.96
cruse	126	5.236	1	422	25.31	166.38	3,570.39
gales	121	5.235	1	378	26.36	147.82	3,201.12
poste	124	5.235	1	425	25.72	164.61	3,572.06
yores	98	5.234	1	293	32.54	132.10	3,239.72
years	98	5.234	1	322	32.54	135.78	3,359.53
royne	110	5.234	1	317	28.99	140.64	3,236.88
waite	114	5.234	1	353	27.97	140.96	3,160.69
nerts	114	5.234	1	371	27.97	145.49	3,287.34
crein	131	5.234	1	418	24.34	169.34	3,529.81
yales	110	5.233	1	304	28.99	133.81	3,038.83
wares	116	5.233	1	406	27.49	143.97	3,202.06
ranis	122	5.233	1	415	26.14	146.82	3,154.60
spite	133	5.233	1	486	23.98	181.82	3,784.71
drats	110	5.232	1	440	28.99	149.35	3,489.39
potes	121	5.232	1	391	26.36	155.07	3,392.39
raith	128	5.232	1	467	24.91	159.54	3,354.03
morat	134	5.232	1	465	23.80	165.25	3,366.43
eater	119	5.231	1	455	26.80	149.12	3,277.93
minae	123	5.231	1	374	25.93	152.01	3,268.90
bores	124	5.231	1	409	25.72	152.51	3,260.78
inert	124	5.231	1	380	25.72	153.03	3,274.11
ragde	132	5.231	1	458	24.16	156.62	3,200.07
boner	122	5.231	1	428	26.14	158.31	3,454.97
trios	123	5.231	1	463	25.93	159.30	3,457.92
torah	130	5.231	1	435	24.53	163.57	3,410.82
shite	141	5.231	1	480	22.62	187.35	3,725.80
